season,away_team,home_team,plus_minus_diff,netrtg_diff,pie_diff
2020,UTAH JAZZ,NEW ORLEANS PELICANS,-4,-4.3,-2.1
2020,LOS ANGELES CLIPPERS,LOS ANGELES LAKERS,0.9,0.7,1.8
2020,ORLANDO MAGIC,BROOKLYN NETS,0.4,0.6,0.2
2020,MEMPHIS GRIZZLIES,PORTLAND TRAIL BLAZERS,-0.5,-0.5,-2.5
2020,PHOENIX SUNS,WASHINGTON WIZARDS,-2.6,-2.9,-2.6
2020,BOSTON CELTICS,MILWAUKEE BUCKS,5.1,4.6,3.7
2020,SACRAMENTO KINGS,SAN ANTONIO SPURS,0.1,0.2,2
2020,HOUSTON ROCKETS,TORONTO RAPTORS,2.7,3,3.4
2020,MIAMI HEAT,DENVER NUGGETS,-0.2,0.1,-0.6
2020,UTAH JAZZ,OKLAHOMA CITY THUNDER,-0.7,-0.8,0.7
2020,NEW ORLEANS PELICANS,LOS ANGELES CLIPPERS,7.3,7.4,3.4
2020,PHILADELPHIA 76ERS,INDIANA PACERS,-0.3,-0.1,-0.6
2020,LOS ANGELES LAKERS,TORONTO RAPTORS,-0.9,-0.7,-1.8
2020,WASHINGTON WIZARDS,BROOKLYN NETS,3.4,3.3,2.2
2020,PORTLAND TRAIL BLAZERS,BOSTON CELTICS,7.8,7.6,4.8
2020,SAN ANTONIO SPURS,MEMPHIS GRIZZLIES,0.7,0.5,1
2020,SACRAMENTO KINGS,ORLANDO MAGIC,0.9,0.5,2
2020,MILWAUKEE BUCKS,HOUSTON ROCKETS,-7.5,-7.3,-7.1
2020,DALLAS MAVERICKS,PHOENIX SUNS,-7.4,-6.8,-2.2
2020,TORONTO RAPTORS,MIAMI HEAT,-3.3,-3.4,-0.5
2020,DENVER NUGGETS,OKLAHOMA CITY THUNDER,-0.5,-0.6,0.5
2020,INDIANA PACERS,WASHINGTON WIZARDS,-5.9,-5.9,-4.1
2020,MEMPHIS GRIZZLIES,NEW ORLEANS PELICANS,0.3,0,-1.1
2020,SAN ANTONIO SPURS,PHILADELPHIA 76ERS,4,3.6,2.7
2020,LOS ANGELES LAKERS,UTAH JAZZ,-4.2,-3.8,-3.1
2020,BROOKLYN NETS,MILWAUKEE BUCKS,11.9,11.3,6.8
2020,DALLAS MAVERICKS,SACRAMENTO KINGS,-7.9,-7.5,-4.8
2020,PHOENIX SUNS,LOS ANGELES CLIPPERS,7.9,7.4,2.7
