season,away_team,home_team,plus_minus_diff,netrtg_diff,pie_diff,winner
1999,CLEVELAND CAVALIERS,ATLANTA HAWKS,4.6,5,3.2,1
1999,TORONTO RAPTORS,BOSTON CELTICS,-0.3,-0.2,-1.6,0
1999,PHILADELPHIA 76ERS,CHARLOTTE HORNETS,-2.2,-2.4,-0.7,0
1999,MINNESOTA TIMBERWOLVES,DENVER NUGGETS,-7,-7.8,-5.1,0
1999,WASHINGTON WIZARDS,INDIANA PACERS,5.9,6.6,5,1
1999,PHOENIX SUNS,LOS ANGELES CLIPPERS,-11.1,-11.8,-12.7,0
1999,HOUSTON ROCKETS,LOS ANGELES LAKERS,0.7,0.8,0.4,1
1999,DETROIT PISTONS,MIAMI HEAT,1.6,1.8,4.5,0
1999,NEW YORK KNICKS,ORLANDO MAGIC,1.6,1.4,0.4,1
1999,SACRAMENTO KINGS,SAN ANTONIO SPURS,8.5,9.5,8.8,1
1999,DALLAS MAVERICKS,SEATTLE SUPERSONICS,1.3,1.8,1.6,1
1999,CHICAGO BULLS,UTAH JAZZ,16,17.8,17.1,1
1999,NEW JERSEY NETS,ATLANTA HAWKS,6.7,7.3,5.9,1
1999,CLEVELAND CAVALIERS,BOSTON CELTICS,-0.2,-0.2,-2,1
1999,MILWAUKEE BUCKS,CHARLOTTE HORNETS,-1.8,-1.8,-0.1,0
1999,HOUSTON ROCKETS,GOLDEN STATE WARRIORS,-4.8,-5.4,-5.7,0
1999,ORLANDO MAGIC,PHILADELPHIA 76ERS,-0.5,-0.2,-0.1,1
1999,MINNESOTA TIMBERWOLVES,SAN ANTONIO SPURS,7.7,8.6,8.9,1
1999,TORONTO RAPTORS,WASHINGTON WIZARDS,-0.6,-0.4,-1.3,1
1999,INDIANA PACERS,DETROIT PISTONS,-0.3,-0.3,-1.1,1
1999,DALLAS MAVERICKS,GOLDEN STATE WARRIORS,-0.1,-0.2,-0.8,0
1999,CHICAGO BULLS,LOS ANGELES CLIPPERS,0.7,0.8,-1.8,0
1999,UTAH JAZZ,LOS ANGELES LAKERS,-3.5,-4.1,-6.4,0
1999,ATLANTA HAWKS,NEW JERSEY NETS,-6.7,-7.3,-5.9,1
1999,MIAMI HEAT,NEW YORK KNICKS,-4,-4.6,-4.5,0
1999,DENVER NUGGETS,PHOENIX SUNS,8.9,9.5,8.7,1
1999,VANCOUVER GRIZZLIES,SACRAMENTO KINGS,8.3,8.9,6.7,1
1999,PORTLAND TRAIL BLAZERS,SEATTLE SUPERSONICS,-7.5,-7.5,-6.6,1
1999,MIAMI HEAT,CHARLOTTE HORNETS,-5.1,-5.8,-4.9,1
1999,INDIANA PACERS,CLEVELAND CAVALIERS,-5.4,-6.2,-3.3,0
1999,WASHINGTON WIZARDS,DETROIT PISTONS,5.6,6.3,3.9,1
1999,DENVER NUGGETS,HOUSTON ROCKETS,8.9,9.8,8.1,1
1999,BOSTON CELTICS,ORLANDO MAGIC,4.5,4.7,4.6,1
1999,LOS ANGELES LAKERS,SAN ANTONIO SPURS,5.1,5.8,5.5,0
1999,PORTLAND TRAIL BLAZERS,VANCOUVER GRIZZLIES,-15.1,-15.9,-12.9,0
1999,ATLANTA HAWKS,CHICAGO BULLS,-12.4,-13.5,-10.5,0
1999,UTAH JAZZ,DALLAS MAVERICKS,-8.9,-10.1,-11.7,0
1999,BOSTON CELTICS,MIAMI HEAT,6.9,7.9,8.7,0
1999,SAN ANTONIO SPURS,MINNESOTA TIMBERWOLVES,-7.7,-8.6,-8.9,1
1999,DETROIT PISTONS,PHILADELPHIA 76ERS,-1.3,-1.6,0.3,1
1999,SACRAMENTO KINGS,PHOENIX SUNS,2.7,2.6,3.5,0
1999,GOLDEN STATE WARRIORS,SEATTLE SUPERSONICS,1.4,2,2.4,1
1999,MILWAUKEE BUCKS,TORONTO RAPTORS,-3.3,-3.7,-2.3,0
1999,CLEVELAND CAVALIERS,CHARLOTTE HORNETS,1.6,1.9,1.8,0
1999,LOS ANGELES LAKERS,DENVER NUGGETS,-9.6,-10.6,-8.5,0
1999,SEATTLE SUPERSONICS,GOLDEN STATE WARRIORS,-1.4,-2,-2.4,0
1999,SACRAMENTO KINGS,HOUSTON ROCKETS,2.7,2.9,2.9,1
1999,ORLANDO MAGIC,NEW JERSEY NETS,-6.4,-6.8,-5.3,0
1999,WASHINGTON WIZARDS,NEW YORK KNICKS,3.2,3.5,3.9,1
1999,INDIANA PACERS,PORTLAND TRAIL BLAZERS,2.7,2.3,3,1
1999,LOS ANGELES CLIPPERS,VANCOUVER GRIZZLIES,0.1,0.3,2.5,1
1999,CHARLOTTE HORNETS,ATLANTA HAWKS,3,3.1,1.4,1
1999,NEW YORK KNICKS,CHICAGO BULLS,-10.5,-11.6,-9.5,0
1999,SAN ANTONIO SPURS,CLEVELAND CAVALIERS,-9.8,-11,-8.9,1
1999,HOUSTON ROCKETS,DALLAS MAVERICKS,-4.7,-5.2,-4.9,0
1999,ORLANDO MAGIC,DETROIT PISTONS,0.8,1.4,-0.4,0
1999,TORONTO RAPTORS,MIAMI HEAT,6.6,7.7,7.1,1
1999,NEW JERSEY NETS,MILWAUKEE BUCKS,5.5,6,4.6,1
1999,LOS ANGELES LAKERS,MINNESOTA TIMBERWOLVES,-2.6,-2.8,-3.4,1
1999,UTAH JAZZ,PHOENIX SUNS,-4.2,-5.2,-6.2,0
1999,INDIANA PACERS,VANCOUVER GRIZZLIES,-12.4,-13.6,-9.9,0
1999,DALLAS MAVERICKS,DENVER NUGGETS,-4.2,-4.6,-3.2,1
1999,UTAH JAZZ,GOLDEN STATE WARRIORS,-9,-10.3,-12.5,0
1999,SAN ANTONIO SPURS,PHILADELPHIA 76ERS,-6,-6.7,-6.4,0
1999,LOS ANGELES CLIPPERS,PHOENIX SUNS,11.1,11.8,12.7,1
1999,DENVER NUGGETS,SEATTLE SUPERSONICS,5.5,6.4,4.8,1
1999,SAN ANTONIO SPURS,CHICAGO BULLS,-17.6,-19.5,-16.2,0
1999,PORTLAND TRAIL BLAZERS,GOLDEN STATE WARRIORS,-8.9,-9.5,-9,1
1999,MINNESOTA TIMBERWOLVES,LOS ANGELES CLIPPERS,-9.2,-10.1,-9.1,0
1999,INDIANA PACERS,LOS ANGELES LAKERS,-0.7,-1,0.1,0
1999,MILWAUKEE BUCKS,ORLANDO MAGIC,0.9,0.8,0.7,1
1999,ATLANTA HAWKS,PHILADELPHIA 76ERS,-0.8,-0.7,-0.7,1
1999,DALLAS MAVERICKS,VANCOUVER GRIZZLIES,-6.3,-6.6,-4.7,1
1999,PHOENIX SUNS,DENVER NUGGETS,-8.9,-9.5,-8.7,0
1999,MINNESOTA TIMBERWOLVES,GOLDEN STATE WARRIORS,-2.9,-3.4,-2.7,1
1999,NEW JERSEY NETS,MIAMI HEAT,8.8,10,9.4,1
1999,DETROIT PISTONS,NEW YORK KNICKS,-2.4,-2.8,0,1
1999,DALLAS MAVERICKS,PORTLAND TRAIL BLAZERS,8.8,9.3,8.2,1
1999,SACRAMENTO KINGS,UTAH JAZZ,6.9,7.8,9.7,1
1999,ATLANTA HAWKS,CHICAGO BULLS,-12.4,-13.5,-10.5,0
1999,ORLANDO MAGIC,CLEVELAND CAVALIERS,-4.3,-4.5,-2.6,1
1999,PHOENIX SUNS,HOUSTON ROCKETS,0,0.3,-0.6,1
1999,MIAMI HEAT,INDIANA PACERS,-1.3,-1.5,-3.4,0
1999,VANCOUVER GRIZZLIES,LOS ANGELES CLIPPERS,-0.1,-0.3,-2.5,0
1999,CHARLOTTE HORNETS,LOS ANGELES LAKERS,3.1,3.3,1.6,1
1999,DETROIT PISTONS,NEW JERSEY NETS,-7.2,-8.2,-4.9,1
1999,TORONTO RAPTORS,NEW YORK KNICKS,2.6,3.1,2.6,1
1999,MILWAUKEE BUCKS,PHILADELPHIA 76ERS,0.4,0.6,0.6,0
1999,BOSTON CELTICS,SACRAMENTO KINGS,1.5,1.7,2.1,1
1999,UTAH JAZZ,SEATTLE SUPERSONICS,-7.6,-8.3,-10.1,1
1999,MIAMI HEAT,DETROIT PISTONS,-1.6,-1.8,-4.5,0
1999,CHARLOTTE HORNETS,GOLDEN STATE WARRIORS,-2.4,-2.9,-4.5,1
1999,DALLAS MAVERICKS,LOS ANGELES LAKERS,5.4,6,5.3,1
1999,CHICAGO BULLS,MILWAUKEE BUCKS,11.2,12.2,9.2,1
1999,HOUSTON ROCKETS,MINNESOTA TIMBERWOLVES,-1.9,-2,-3,1
1999,WASHINGTON WIZARDS,ORLANDO MAGIC,4.8,4.9,4.3,1
1999,DENVER NUGGETS,PORTLAND TRAIL BLAZERS,13,13.9,11.4,1
1999,PHOENIX SUNS,SAN ANTONIO SPURS,5.8,6.9,5.3,0
1999,SACRAMENTO KINGS,SEATTLE SUPERSONICS,-0.7,-0.5,-0.4,0
1999,BOSTON CELTICS,VANCOUVER GRIZZLIES,-6.8,-7.2,-4.6,0
1999,NEW YORK KNICKS,CLEVELAND CAVALIERS,-2.7,-3.1,-2.2,1
1999,PHILADELPHIA 76ERS,INDIANA PACERS,1.6,1.9,0.8,1
1999,HOUSTON ROCKETS,NEW JERSEY NETS,-6.1,-6.7,-5.7,0
1999,WASHINGTON WIZARDS,TORONTO RAPTORS,0.6,0.4,1.3,0
1999,DENVER NUGGETS,UTAH JAZZ,13.1,14.7,14.9,1
